         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	       react	           1	         -99	           0	          34	           8	       -6.76	  1.0000e-09	  1.5330e-08	  5.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.1515	    -23.7554	     -3.7632	     -5.0431	
           2	       react	           1	         -99	           0	          35	           8	       -6.76	  1.0000e-09	  1.8330e-08	  6.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -5.9963	    -23.2120	     -3.5303	     -4.8878	
           2	       react	           1	         -99	           0	          36	           8	       -6.76	  1.0000e-09	  2.1330e-08	  7.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -5.8646	    -22.7512	     -3.3328	     -4.7562	
           2	       react	           1	         -99	           0	          37	           8	       -6.76	  1.0000e-09	  2.4330e-08	  8.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -5.7503	    -22.3512	     -3.1614	     -4.6419	
           2	       react	           1	         -99	           0	          38	           8	       -6.76	  1.0000e-09	  2.7330e-08	  9.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -5.6493	    -21.9977	     -3.0099	     -4.5409	
           2	       react	           1	         -99	           0	          39	           8	       -6.76	  1.0000e-09	  3.0330e-08	  1.0110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -5.5589	    -21.6811	     -2.8742	     -4.4504	
           2	       react	           1	         -99	           0	          40	           8	       -6.76	  1.0000e-09	  3.3330e-08	  1.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -5.4769	    -21.3943	     -2.7513	     -4.3685	
           2	       react	           1	         -99	           0	          41	           8	       -6.76	  1.0000e-08	  6.3330e-08	  2.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.9194	    -19.4430	     -1.9150	     -3.8110	
           2	       react	           1	         -99	           0	          42	           8	       -6.76	  1.0000e-08	  9.3330e-08	  3.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.5826	    -18.2641	     -1.4097	     -3.4741	
           2	       react	           1	         -99	           0	          43	           8	       -6.76	  1.0000e-08	  1.2333e-07	  4.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.3405	    -17.4168	     -1.0466	     -3.2321	
