         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	si_Mackinawite	 si_Greigite	   si_Pyrite	
           2	       react	           1	         -99	           0	          57	     6.86641	    -6.62641	  1.0000e-07	  2.8420e-07	  1.3795e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.2691e-07	  1.0707e-07	     -1.1879	    -11.3187	      0.0000	
           2	       react	           1	         -99	           0	          58	     6.82641	    -6.58631	  1.0000e-07	  2.7769e-07	  1.4665e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.3342e-07	  1.0651e-07	     -1.2329	    -11.4089	     -0.0000	
           2	       react	           1	         -99	           0	          59	     6.78988	     -6.5497	  1.0000e-07	  2.7164e-07	  1.5544e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  7.3947e-07	  1.0605e-07	     -1.2743	    -11.4916	      0.0000	
           2	       react	           1	         -99	           0	          60	     6.75636	    -6.51609	  1.0000e-07	  2.6596e-07	  1.6430e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.4515e-07	  1.0568e-07	     -1.3125	    -11.5679	     -0.0000	
           2	       react	           1	         -99	           0	          61	     6.52443	    -6.28327	  1.0000e-06	  2.2144e-07	  2.5540e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.8897e-06	  1.0445e-06	     -1.5849	    -12.1128	      0.0000	
           2	       react	           1	         -99	           0	          62	     6.38782	    -6.14576	  1.0000e-06	  1.8927e-07	  3.4896e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.9218e-06	  1.0322e-06	     -1.7565	    -12.4560	      0.0000	
           2	       react	           1	         -99	           0	          63	     6.29398	      -6.051	  1.0000e-06	  1.6431e-07	  4.4397e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.9468e-06	  1.0250e-06	     -1.8819	    -12.7069	      0.0000	
           2	       react	           1	         -99	           0	          64	     6.22386	    -5.97996	  1.0000e-06	  1.4443e-07	  5.4000e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.9667e-06	  1.0199e-06	     -1.9810	    -12.9050	      0.0000	
           2	       react	           1	         -99	           0	          65	     6.16858	    -5.92375	  1.0000e-06	  1.2830e-07	  6.3677e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.9828e-06	  1.0161e-06	     -2.0630	    -13.0689	      0.0000	
           2	       react	           1	         -99	           0	          66	     6.12332	    -5.87755	  1.0000e-06	  1.1502e-07	  7.3411e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.9961e-06	  1.0133e-06	     -2.1329	    -13.2088	      0.0000	
           2	       react	           1	         -99	           0	          67	     6.08521	     -5.8385	  1.0000e-06	  1.0394e-07	  8.3190e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.0072e-06	  1.0111e-06	     -2.1940	    -13.3309	     -0.0000	
           2	       react	           1	         -99	           0	          68	     6.05241	    -5.80475	  1.0000e-06	  9.4598e-08	  9.3003e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.0165e-06	  1.0093e-06	     -2.2482	    -13.4394	      0.0000	
           2	       react	           1	         -99	           0	          69	      6.0237	    -5.77509	  1.0000e-06	  8.6632e-08	  1.0284e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0024e-05	  1.0080e-06	     -2.2970	    -13.5370	      0.0000	
           2	       react	           1	         -99	           0	          70	     5.99822	    -5.74865	  1.0000e-06	  7.9775e-08	  1.1271e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1031e-05	  1.0069e-06	     -2.3414	    -13.6258	     -0.0000	
           2	       react	           1	         -99	           0	          71	     5.83532	    -5.57588	  1.0000e-05	  4.2811e-08	  2.1197e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.1068e-05	  1.0037e-05	     -2.6496	    -14.2422	      0.0000	
           2	       react	           1	         -99	           0	          72	      5.7432	    -5.47341	  1.0000e-05	  2.8096e-08	  3.1167e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.1083e-05	  1.0015e-05	     -2.8439	    -14.6307	     -0.0000	
           2	       react	           1	         -99	           0	          73	     5.67877	    -5.39809	  1.0000e-05	  2.0314e-08	  4.1152e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.1091e-05	  1.0008e-05	     -2.9899	    -14.9228	     -0.0000	
           2	       react	           1	         -99	           0	          74	     5.62915	      -5.337	  1.0000e-05	  1.5524e-08	  5.1142e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.1096e-05	  1.0005e-05	     -3.1097	    -15.1624	      0.0000	
           2	       react	           1	         -99	           0	          75	     5.58877	    -5.28453	  1.0000e-05	  1.2288e-08	  6.1136e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.1099e-05	  1.0003e-05	     -3.2132	    -15.3694	      0.0000	
           2	       react	           1	         -99	           0	          76	     5.55473	    -5.23767	  1.0000e-05	  9.9571e-09	  7.1131e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  7.1101e-05	  1.0002e-05	     -3.3060	    -15.5550	      0.0000	
           2	       react	           1	         -99	           0	          77	      5.5253	    -5.19461	  1.0000e-05	  8.1998e-09	  8.1128e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.1103e-05	  1.0002e-05	     -3.3915	    -15.7260	      0.0000	
           2	       react	           1	         -99	           0	          78	     5.49938	    -5.15415	  1.0000e-05	  6.8280e-09	  9.1125e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.1104e-05	  1.0001e-05	     -3.4720	    -15.8869	     -0.0000	
           2	       react	           1	         -99	           0	          79	     5.47622	     -5.1154	  1.0000e-05	  5.7276e-09	  1.0112e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0111e-04	  1.0001e-05	     -3.5491	    -16.0413	      0.0000	
           2	       react	           1	         -99	           0	          80	     5.45528	    -5.07767	  1.0000e-05	  4.8254e-09	  1.1112e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1111e-04	  1.0001e-05	     -3.6243	    -16.1917	      0.0000	
           2	       react	           1	         -99	           0	          81	     5.31355	     -4.5822	  1.0000e-04	  5.0032e-10	  2.1111e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.1111e-04	  1.0000e-04	     -4.6144	    -18.1718	      0.0000	
           2	       react	           1	         -99	           0	          82	     4.41704	   -0.596682	  1.0000e-04	  1.0415e-14	  3.1111e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.1111e-04	  1.0000e-04	    -10.9424	    -30.8279	      0.0000	
           2	       react	           1	         -99	           0	          83	     4.06146	   -0.120171	  1.0000e-04	  1.9775e-14	  4.1111e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.1111e-04	  1.0000e-04	    -11.2843	    -31.5115	      0.0000	
           2	       react	           1	         -99	           0	          84	     3.86923	    0.133533	  1.0000e-04	  2.5286e-14	  5.1111e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.1111e-04	  1.0000e-04	    -11.4881	    -31.9192	      0.0000	
           2	       react	           1	         -99	           0	          85	     3.73724	    0.305996	  1.0000e-04	  2.8554e-14	  6.1112e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.1111e-04	  1.0000e-04	    -11.6372	    -32.2174	      0.0000	
           2	       react	           1	         -99	           0	          86	     3.63678	      0.4363	  1.0000e-04	  3.0515e-14	  7.1112e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  7.1111e-04	  1.0000e-04	    -11.7558	    -32.4546	      0.0000	
           2	       react	           1	         -99	           0	          87	     3.55574	    0.540815	  1.0000e-04	  3.1685e-14	  8.1112e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.1111e-04	  1.0000e-04	    -11.8546	    -32.6521	      0.0000	
           2	       react	           1	         -99	           0	          88	     3.48786	    0.627944	  1.0000e-04	  3.2359e-14	  9.1112e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.1111e-04	  1.0000e-04	    -11.9394	    -32.8217	      0.0000	
