         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	si_Mackinawite	 si_Greigite	   si_Pyrite	
           4	       react	           1	         -99	           0	          42	     7.32381	    -7.08487	  1.0000e-08	  9.3330e-08	  3.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.7881	    -24.8701	     -3.4269	
           4	       react	           1	         -99	           0	          43	     7.40454	    -7.16562	  1.0000e-08	  1.2333e-07	  4.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.4483	    -23.7926	     -3.0291	
           4	       react	           1	         -99	           0	          44	     7.47519	    -7.23628	  1.0000e-08	  1.5333e-07	  5.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.1769	    -22.9422	     -2.7214	
           4	       react	           1	         -99	           0	          45	     7.53746	    -7.29858	  1.0000e-08	  1.8333e-07	  6.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.9516	    -22.2425	     -2.4723	
           4	       react	           1	         -99	           0	          46	     7.59285	    -7.35399	  1.0000e-08	  2.1333e-07	  7.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.7595	    -21.6501	     -2.2641	
           4	       react	           1	         -99	           0	          47	     7.64258	    -7.40373	  1.0000e-08	  2.4333e-07	  8.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.5925	    -21.1380	     -2.0860	
           4	       react	           1	         -99	           0	          48	     7.68759	    -7.44876	  1.0000e-08	  2.7333e-07	  9.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.4450	    -20.6879	     -1.9308	
           4	       react	           1	         -99	           0	          49	     7.72865	    -7.48984	  1.0000e-08	  3.0333e-07	  1.0111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.3132	    -20.2872	     -1.7938	
           4	       react	           1	         -99	           0	          50	     7.76636	    -7.52757	  1.0000e-08	  3.3333e-07	  1.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.1941	    -19.9266	     -1.6713	
           4	       react	           1	         -99	           0	          51	     8.03194	    -7.79337	  1.0000e-07	  6.3333e-07	  2.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.3990	    -17.5492	     -0.8842	
